job_id,resume_id,similarity_score,rank
1,334,0.1409,
4,307,0.3142,
4,473,0.2765,
4,66,0.2732,
5,455,0.2094,
11,149,0.224,
11,320,0.215,
11,432,0.1733,
7,78,0.2168,
7,409,0.1895,
8,307,0.1441,
9,463,0.3523,
9,55,0.3465,
9,51,0.3422,
9,431,0.3393,
9,354,0.3364,
10,455,0.2281,
66,239,0.1679,
66,307,0.1665,
109,127,0.2592,
12,371,0.3061,
12,391,0.2404,
13,213,0.2892,
14,409,0.27,
14,282,0.2676,
14,215,0.258,
14,399,0.2513,
14,455,0.247,
14,320,0.2448,
15,433,0.2196,
16,355,0.3177,
17,54,0.1833,
17,164,0.1824,
17,320,0.1769,
18,473,0.3331,
18,307,0.3279,
19,432,0.3253,
20,463,0.2857,
160,355,0.2356,
21,432,0.2627,
21,122,0.256,
22,334,0.1632,
23,338,0.2847,
24,99,0.2948,
24,334,0.2941,
25,292,0.1553,
28,296,0.1982,
55,166,0.1986,
29,463,0.304,
30,355,0.2275,
32,3946,0.2177,
35,355,0.2694,
37,248,0.2865,
37,5122,0.2854,
38,164,0.198,
39,173,0.2429,
42,274,0.1696,
43,433,0.2429,
43,164,0.2264,
43,282,0.222,
43,399,0.2216,
43,78,0.221,
45,155,0.2064,
