job_id,resume_id,similarity_score,rank
1,6818,0.1441,
1,3039,0.1423,
1,8192,0.1423,
1,334,0.1409,
1,6754,0.14,
1,5984,0.1395,
1,967,0.1389,
1,980,0.1369,
1,4618,0.1347,
1,7923,0.1338,
1,5356,0.133,
1,5450,0.1326,
1,6942,0.1322,
1,5397,0.1318,
1,7317,0.1315,
1,3864,0.1314,
1,3630,0.1313,
1,9034,0.1312,
1,1859,0.1308,
1,1162,0.1305,
2,4622,0.2305,
2,5223,0.216,
2,6259,0.2131,
2,3693,0.2114,
2,2926,0.2081,
2,5559,0.2016,
2,2255,0.1972,
2,3151,0.1964,
2,1083,0.196,
2,7724,0.1951,
2,8763,0.1916,
2,6834,0.1915,
2,3886,0.1909,
2,4057,0.1903,
2,7633,0.1863,
2,4041,0.186,
2,8692,0.1834,
2,2891,0.1816,
2,1636,0.1809,
2,5590,0.1799,
3,3027,0.2671,
3,1021,0.2517,
3,4217,0.2444,
3,7921,0.2435,
3,7087,0.2295,
3,2859,0.2273,
3,1828,0.2271,
3,5036,0.227,
3,9112,0.2268,
3,7961,0.2247,
3,6505,0.2216,
3,6381,0.2192,
3,9293,0.2191,
3,6051,0.2187,
3,2092,0.2172,
3,1807,0.2168,
3,3347,0.2154,
3,4344,0.2151,
3,8791,0.2143,
3,4181,0.2142,
4,307,0.3142,
4,6613,0.3016,
4,8940,0.2897,
4,5157,0.2838,
4,2158,0.2838,
4,4275,0.2816,
4,3787,0.28,
4,8367,0.2774,
4,473,0.2765,
4,2606,0.2762,
4,5901,0.2746,
4,9135,0.2744,
4,5971,0.2742,
4,2351,0.2737,
4,7910,0.2736,
4,8145,0.2735,
4,1743,0.2733,
4,2029,0.2733,
4,2160,0.2732,
4,66,0.2732,
5,7371,0.2372,
5,9062,0.2242,
5,2255,0.2202,
5,3840,0.2194,
5,6627,0.2169,
5,2926,0.2152,
5,4299,0.2151,
5,3039,0.2139,
5,8769,0.2132,
5,882,0.2106,
5,455,0.2094,
5,7195,0.2088,
5,4622,0.2078,
5,4097,0.2069,
5,2331,0.2066,
5,8130,0.2066,
5,4328,0.2062,
5,3871,0.2059,
5,4657,0.2029,
5,5266,0.2016,
6,8834,0.2635,
6,5189,0.2546,
6,4057,0.252,
6,6613,0.2513,
6,3516,0.2366,
6,6504,0.236,
6,4237,0.2317,
6,5984,0.2311,
6,9436,0.2285,
6,4114,0.2267,
6,3356,0.226,
6,8206,0.223,
6,6433,0.223,
6,8992,0.2226,
6,7824,0.221,
6,2629,0.2184,
6,6478,0.2181,
6,8439,0.2176,
6,5223,0.2167,
6,7387,0.2145,
11,149,0.224,
11,320,0.215,
11,4493,0.2007,
11,4696,0.1978,
11,5999,0.1906,
11,5327,0.1868,
11,7964,0.1857,
11,5990,0.1805,
11,5754,0.1777,
11,5098,0.1774,
11,8631,0.1763,
11,2080,0.1756,
11,5749,0.1755,
11,8322,0.1749,
11,432,0.1733,
11,7462,0.173,
11,3436,0.1721,
11,6402,0.1718,
11,2393,0.1713,
11,4526,0.171,
7,3074,0.2205,
7,78,0.2168,
7,4819,0.2131,
7,8322,0.2017,
7,7525,0.1959,
7,7825,0.1947,
7,6835,0.1939,
7,6104,0.1914,
7,3816,0.1914,
7,409,0.1895,
7,8763,0.1887,
7,6160,0.1874,
7,2255,0.1844,
7,8163,0.1826,
7,3506,0.182,
7,821,0.181,
7,1337,0.1807,
7,8295,0.1806,
7,8067,0.18,
7,4041,0.1799,
8,8500,0.1747,
8,3788,0.1713,
8,2040,0.171,
8,8968,0.1689,
8,1797,0.1643,
8,7140,0.1632,
8,5025,0.1591,
8,7901,0.159,
8,4127,0.1575,
8,7363,0.1556,
8,6973,0.1544,
8,6803,0.1544,
8,5465,0.1536,
8,3365,0.1523,
8,7377,0.1492,
8,6522,0.1489,
8,3516,0.1446,
8,307,0.1441,
8,3112,0.144,
8,6068,0.1425,
9,7684,0.3683,
9,3815,0.3657,
9,463,0.3523,
9,4401,0.3517,
9,1204,0.3515,
9,8585,0.3514,
9,55,0.3465,
9,5938,0.3425,
9,51,0.3422,
9,9202,0.3413,
9,1896,0.3401,
9,431,0.3393,
9,6698,0.3386,
9,2844,0.3384,
9,6212,0.3381,
9,7854,0.3375,
9,6827,0.3367,
9,6441,0.3365,
9,354,0.3364,
9,3531,0.3363,
10,1809,0.2545,
10,2568,0.241,
10,8901,0.2302,
10,455,0.2281,
10,918,0.2262,
10,7160,0.2244,
10,7278,0.2238,
10,8328,0.2237,
10,2702,0.2229,
10,1983,0.2218,
10,9288,0.2211,
10,7973,0.2205,
10,4127,0.2191,
10,3517,0.2189,
10,7824,0.2183,
10,3844,0.2153,
10,7535,0.2115,
10,1967,0.2112,
10,1127,0.211,
10,4582,0.211,
66,9273,0.1826,
66,2837,0.1784,
66,6803,0.1783,
66,736,0.1781,
66,8131,0.1745,
66,3202,0.174,
66,3540,0.1693,
66,239,0.1679,
66,1330,0.1667,
66,307,0.1665,
66,6904,0.1625,
66,8600,0.1614,
66,7633,0.1592,
66,1902,0.1579,
66,6442,0.1543,
66,8067,0.1542,
66,5716,0.1539,
66,1054,0.1521,
66,2394,0.1514,
66,630,0.1503,
108,2461,0.1907,
108,9394,0.1904,
108,6998,0.1875,
108,2344,0.1784,
108,3744,0.1748,
108,6803,0.1727,
108,7453,0.1656,
108,7628,0.1651,
108,7126,0.1587,
108,1438,0.1581,
108,4682,0.1581,
108,3903,0.1561,
108,3432,0.1549,
108,5155,0.1527,
108,4831,0.1519,
108,1318,0.1517,
108,8769,0.1513,
108,1337,0.1499,
108,7375,0.1461,
108,6768,0.1443,
109,3175,0.2622,
109,127,0.2592,
109,4603,0.2564,
109,9156,0.2535,
109,6977,0.2519,
109,7087,0.2519,
109,5637,0.2515,
109,6346,0.2515,
109,6767,0.2502,
109,8330,0.2481,
109,3027,0.2466,
109,3195,0.2458,
109,9136,0.2453,
109,5780,0.2447,
109,1519,0.2445,
109,3377,0.2439,
109,3355,0.2424,
109,9048,0.2423,
109,7838,0.2422,
109,5199,0.2418,
12,7635,0.3116,
12,371,0.3061,
12,6234,0.2904,
12,6585,0.2763,
12,3163,0.276,
12,5824,0.2736,
12,4577,0.2637,
12,2249,0.2634,
12,6968,0.2612,
12,925,0.2571,
12,6124,0.2557,
12,2194,0.2494,
12,8750,0.2456,
12,8830,0.2407,
12,391,0.2404,
12,6608,0.2391,
12,2622,0.2378,
12,5808,0.2372,
12,2747,0.2365,
12,5509,0.236,
13,213,0.2892,
13,1780,0.2879,
13,6209,0.2851,
13,3731,0.2806,
13,1828,0.2764,
13,8317,0.2693,
13,8850,0.2689,
13,3653,0.2687,
13,5808,0.2677,
13,5617,0.2677,
13,1478,0.2652,
13,5902,0.2652,
13,4473,0.2643,
13,8338,0.2635,
13,9186,0.262,
13,3027,0.2609,
13,5671,0.2608,
13,1157,0.2604,
13,4488,0.26,
13,3223,0.2594,
14,8322,0.2897,
14,7973,0.2809,
14,6174,0.2739,
14,7824,0.2718,
14,409,0.27,
14,1908,0.2696,
14,282,0.2676,
14,8834,0.2617,
14,5189,0.26,
14,215,0.258,
14,2312,0.2563,
14,2436,0.2539,
14,8190,0.2536,
14,4531,0.2515,
14,399,0.2513,
14,7870,0.2513,
14,8064,0.2485,
14,455,0.247,
14,5894,0.2463,
14,320,0.2448,
15,6613,0.2555,
15,5716,0.2427,
15,8834,0.2425,
15,2145,0.2379,
15,8662,0.234,
15,5583,0.2334,
15,7973,0.2313,
15,6174,0.2307,
15,2663,0.2294,
15,4057,0.2278,
15,4291,0.2238,
15,433,0.2196,
15,1207,0.2193,
15,6614,0.2168,
15,2308,0.2165,
15,5927,0.2162,
15,2361,0.215,
15,8005,0.2149,
15,5519,0.2148,
15,5616,0.2139,
16,2127,0.3201,
16,355,0.3177,
16,3057,0.3029,
16,8905,0.3026,
16,6141,0.3017,
16,4512,0.2988,
16,5165,0.2965,
16,5438,0.2959,
16,3920,0.2956,
16,2874,0.2943,
16,6376,0.2913,
16,3436,0.2907,
16,7523,0.2887,
16,2566,0.2886,
16,5659,0.2876,
16,754,0.2873,
16,6474,0.2853,
16,3417,0.2803,
16,5999,0.2787,
16,3207,0.2785,
17,8834,0.2044,
17,7825,0.1979,
17,7824,0.1977,
17,1909,0.1936,
17,5882,0.1917,
17,6174,0.1913,
17,2928,0.1905,
17,9062,0.1892,
17,6613,0.1867,
17,6370,0.1864,
17,54,0.1833,
17,5238,0.1825,
17,164,0.1824,
17,5223,0.1815,
17,4531,0.1813,
17,8064,0.1802,
17,1908,0.1791,
17,7870,0.1785,
17,712,0.1772,
17,320,0.1769,
18,9407,0.3411,
18,6614,0.3384,
18,473,0.3331,
18,5583,0.3326,
18,4744,0.3325,
18,9341,0.3282,
18,2361,0.328,
18,307,0.3279,
18,6499,0.3258,
18,3467,0.3253,
18,9388,0.325,
18,2545,0.3223,
18,993,0.3219,
18,2005,0.3206,
18,5901,0.3202,
18,7572,0.3191,
18,8662,0.3187,
18,3856,0.3184,
18,3963,0.3181,
18,6070,0.3171,
19,6164,0.3674,
19,9247,0.339,
19,8748,0.3298,
19,5098,0.3294,
19,432,0.3253,
19,6867,0.323,
19,1369,0.3196,
19,729,0.3196,
19,4138,0.3191,
19,7547,0.319,
19,1956,0.3188,
19,6823,0.3176,
19,5520,0.3176,
19,5735,0.3149,
19,7964,0.3147,
19,5704,0.3138,
19,1790,0.3135,
19,4493,0.3131,
19,7699,0.3131,
19,7462,0.313,
20,4223,0.3243,
20,8585,0.3201,
20,3815,0.3168,
20,7044,0.3065,
20,8054,0.2997,
20,8385,0.2974,
20,6212,0.2967,
20,2252,0.2899,
20,1220,0.2899,
20,7879,0.2893,
20,8087,0.2882,
20,3531,0.2881,
20,8182,0.2879,
20,4782,0.2878,
20,8765,0.2878,
20,2182,0.2872,
20,6441,0.2865,
20,2156,0.2861,
20,463,0.2857,
20,5921,0.2853,
160,7273,0.2477,
160,355,0.2356,
160,2874,0.205,
160,3436,0.2002,
160,5438,0.1997,
160,8905,0.1993,
160,3920,0.1989,
160,7523,0.1988,
160,2127,0.1974,
160,6141,0.1969,
160,5659,0.1961,
160,4512,0.1955,
160,5165,0.1946,
160,754,0.1934,
160,3057,0.1921,
160,3417,0.1911,
160,6376,0.1906,
160,2566,0.1901,
160,759,0.1856,
160,6474,0.1855,
21,646,0.3049,
21,8360,0.2818,
21,6164,0.2798,
21,7547,0.271,
21,7699,0.2695,
21,729,0.2672,
21,6520,0.2661,
21,1369,0.2655,
21,5098,0.2642,
21,6773,0.2635,
21,432,0.2627,
21,7298,0.2599,
21,9247,0.2598,
21,7307,0.2594,
21,2610,0.257,
21,4729,0.2569,
21,4099,0.2568,
21,8042,0.2564,
21,1956,0.2563,
21,122,0.256,
22,2856,0.1807,
22,2718,0.1803,
22,5189,0.1792,
22,2926,0.1782,
22,3516,0.1778,
22,7412,0.1775,
22,3039,0.1737,
22,8439,0.173,
22,8192,0.1673,
22,567,0.1671,
22,1684,0.1667,
22,1352,0.1663,
22,3209,0.1656,
22,4057,0.1651,
22,8834,0.1641,
22,1851,0.1633,
22,334,0.1632,
22,1704,0.1618,
22,4114,0.1617,
22,1162,0.1612,
23,338,0.2847,
23,8834,0.2705,
23,4565,0.2621,
23,5189,0.2583,
23,1127,0.2563,
23,6613,0.2522,
23,4057,0.2513,
23,6504,0.251,
23,2175,0.2436,
23,7879,0.2426,
23,5984,0.2406,
23,7512,0.2353,
23,7737,0.2304,
23,4237,0.2227,
23,6478,0.2226,
23,4286,0.2224,
23,5395,0.2214,
23,1123,0.2212,
23,2859,0.2205,
23,965,0.2202,
24,5246,0.3263,
24,5450,0.3027,
24,99,0.2948,
24,334,0.2941,
24,7923,0.2932,
24,1859,0.2895,
24,2240,0.2891,
24,6355,0.2867,
24,973,0.2816,
24,5405,0.2798,
24,5754,0.2797,
24,9209,0.2783,
24,1563,0.278,
24,6818,0.2768,
24,967,0.2767,
24,9366,0.2755,
24,6341,0.2755,
24,8524,0.2752,
24,3864,0.2745,
24,8192,0.2734,
25,6627,0.1966,
25,7051,0.1856,
25,9062,0.1754,
25,8612,0.1749,
25,2461,0.1737,
25,5109,0.1699,
25,7070,0.1653,
25,7917,0.1638,
25,3432,0.163,
25,6803,0.159,
25,292,0.1553,
25,7628,0.1545,
25,616,0.1541,
25,2696,0.1536,
25,2331,0.1531,
25,7086,0.1529,
25,6442,0.1528,
25,626,0.1528,
25,5375,0.1522,
25,3516,0.1521,
26,5583,0.3392,
26,5773,0.3335,
26,2308,0.3322,
26,9452,0.3312,
26,4093,0.3293,
26,8374,0.326,
26,4275,0.3251,
26,1545,0.3232,
26,983,0.3215,
26,2158,0.319,
26,2351,0.3186,
26,1028,0.3177,
26,4727,0.3165,
26,4514,0.3152,
26,1062,0.3151,
26,2361,0.315,
26,7140,0.3149,
26,9407,0.3148,
26,2875,0.3142,
26,8145,0.3136,
27,2195,0.2161,
27,5836,0.211,
27,1111,0.2017,
27,5415,0.196,
27,4796,0.1958,
27,4837,0.1948,
27,7846,0.1939,
27,2856,0.1858,
27,6971,0.1821,
27,1388,0.1799,
27,8123,0.1793,
27,2448,0.1761,
27,3209,0.1756,
27,8111,0.1737,
27,7669,0.1737,
27,7020,0.1731,
27,9446,0.1668,
27,8673,0.1662,
27,9387,0.1661,
27,6503,0.166,
28,6104,0.2159,
28,8079,0.2059,
28,8806,0.2017,
28,5761,0.2001,
28,4531,0.1987,
28,8267,0.1987,
28,9070,0.1985,
28,6824,0.1985,
28,296,0.1982,
28,6444,0.1981,
28,4747,0.1975,
28,5559,0.197,
28,2473,0.1969,
28,1312,0.1964,
28,5176,0.1958,
28,4041,0.1955,
28,2732,0.1941,
28,1165,0.194,
28,2098,0.1937,
28,8272,0.1934,
55,6627,0.2728,
55,3432,0.2586,
55,9062,0.2577,
55,7070,0.2451,
55,8612,0.2437,
55,2461,0.2416,
55,2331,0.2386,
55,5261,0.2322,
55,7568,0.2311,
55,1931,0.2184,
55,7051,0.2111,
55,7231,0.2067,
55,5609,0.2031,
55,1536,0.2024,
55,8769,0.1999,
55,7628,0.1994,
55,166,0.1986,
55,4682,0.1969,
55,2696,0.1933,
55,8192,0.1917,
29,7879,0.3215,
29,2252,0.3207,
29,624,0.3149,
29,4553,0.3144,
29,6441,0.3121,
29,463,0.304,
29,5938,0.3029,
29,7044,0.3025,
29,3815,0.3023,
29,5010,0.2971,
29,1059,0.2962,
29,8280,0.296,
29,3531,0.2959,
29,8490,0.2959,
29,3790,0.2945,
29,1204,0.2931,
29,2239,0.293,
29,2182,0.2926,
29,7152,0.2926,
29,8087,0.292,
30,355,0.2275,
30,5165,0.2186,
30,3057,0.2085,
30,7523,0.202,
30,9436,0.2015,
30,3516,0.2011,
30,6141,0.1952,
30,8905,0.1942,
30,5438,0.1925,
30,3436,0.192,
30,2127,0.1917,
30,8834,0.1905,
30,5659,0.1904,
30,3920,0.1901,
30,2566,0.1888,
30,6613,0.1881,
30,6474,0.1874,
30,4057,0.1871,
30,2874,0.1869,
30,3207,0.1852,
31,2325,0.2357,
31,4735,0.2355,
31,3245,0.2317,
31,2455,0.2269,
31,6474,0.222,
31,6779,0.2215,
31,3259,0.2209,
31,2436,0.217,
31,7618,0.2162,
31,7892,0.2158,
31,3655,0.2155,
31,7973,0.2144,
31,4553,0.2124,
31,8322,0.2122,
31,3057,0.211,
31,2022,0.2108,
31,5390,0.2103,
31,4011,0.2094,
31,6524,0.2089,
31,3599,0.2088,
32,951,0.2344,
32,7494,0.2289,
32,6442,0.2281,
32,5109,0.2229,
32,5034,0.2193,
32,1858,0.2188,
32,3946,0.2177,
32,7070,0.2167,
32,8067,0.216,
32,3432,0.2139,
32,9062,0.2134,
32,4396,0.2118,
32,1504,0.211,
32,6565,0.2109,
32,2298,0.2108,
32,4489,0.2077,
32,6627,0.2068,
32,8769,0.2058,
32,8306,0.2044,
32,7917,0.2035,
33,7628,0.2156,
33,9394,0.2112,
33,2373,0.1997,
33,2461,0.1892,
33,8693,0.188,
33,8118,0.1873,
33,4158,0.1824,
33,6998,0.1819,
33,4831,0.178,
33,6803,0.1774,
33,1054,0.1729,
33,3202,0.1727,
33,1167,0.1696,
33,616,0.1694,
33,534,0.168,
33,3516,0.1663,
33,4876,0.1634,
33,5619,0.1626,
33,9447,0.1617,
33,5149,0.1614,
34,2261,0.2618,
34,3506,0.2554,
34,7921,0.255,
34,5190,0.2528,
34,3697,0.2497,
34,8815,0.2485,
34,4935,0.248,
34,8830,0.2471,
34,3027,0.2449,
34,3612,0.2444,
34,3355,0.241,
34,2873,0.2396,
34,7525,0.2392,
34,5668,0.2383,
34,7961,0.2379,
34,872,0.2378,
34,6605,0.2374,
34,4661,0.2369,
34,3259,0.2368,
34,3268,0.2356,
35,5165,0.2897,
35,4553,0.2814,
35,3057,0.2811,
35,5438,0.2696,
35,355,0.2694,
35,8905,0.2623,
35,5999,0.2522,
35,3436,0.2517,
35,3207,0.2498,
35,2874,0.2491,
35,2127,0.2488,
35,6474,0.2488,
35,7523,0.2473,
35,754,0.2471,
35,4512,0.2448,
35,7273,0.2445,
35,3417,0.2434,
35,6141,0.2433,
35,5659,0.2427,
35,3920,0.242,
36,2164,0.2379,
36,1913,0.2289,
36,4127,0.2269,
36,1902,0.222,
36,5967,0.2168,
36,579,0.2148,
36,7453,0.2148,
36,5343,0.2145,
36,4274,0.2142,
36,2385,0.2107,
36,5168,0.2093,
36,2091,0.2081,
36,2394,0.2064,
36,1704,0.2059,
36,5919,0.2055,
36,2433,0.2052,
36,9334,0.2047,
36,8682,0.2032,
36,7901,0.2032,
36,4652,0.2031,
37,8720,0.3162,
37,8620,0.308,
37,5554,0.304,
37,8579,0.2989,
37,4547,0.2933,
37,5790,0.2928,
37,4302,0.2925,
37,4250,0.2921,
37,4074,0.2894,
37,2911,0.2887,
37,3552,0.2885,
37,5543,0.2877,
37,9032,0.2873,
37,3650,0.2868,
37,248,0.2865,
37,2687,0.2861,
37,5122,0.2854,
37,8836,0.2853,
37,2459,0.2849,
37,8352,0.2832,
38,6627,0.2501,
38,2331,0.247,
38,9062,0.2434,
38,7051,0.2319,
38,8612,0.2303,
38,1931,0.2243,
38,4682,0.2235,
38,3840,0.2076,
38,1485,0.2068,
38,3432,0.2023,
38,2461,0.202,
38,164,0.198,
38,7925,0.1952,
38,7195,0.1951,
38,3060,0.1934,
38,7231,0.1934,
38,5261,0.1927,
38,4299,0.1919,
38,882,0.1911,
38,5882,0.1903,
39,8992,0.3039,
39,7387,0.2553,
39,3516,0.2548,
39,1562,0.2511,
39,1309,0.2504,
39,4736,0.2452,
39,5677,0.2436,
39,173,0.2429,
39,3356,0.2389,
39,4114,0.2388,
39,6598,0.2366,
39,3156,0.2363,
39,1101,0.2362,
39,7500,0.2324,
39,6997,0.2298,
39,5189,0.2297,
39,7535,0.2287,
39,5405,0.2262,
39,8620,0.2261,
39,8720,0.2257,
40,9062,0.2838,
40,8067,0.2632,
40,8433,0.2555,
40,6442,0.2494,
40,8769,0.2394,
40,846,0.2383,
40,5943,0.2377,
40,9384,0.2351,
40,5990,0.2326,
40,6444,0.231,
40,1763,0.2289,
40,8693,0.2281,
40,4531,0.2276,
40,1859,0.2273,
40,3039,0.2261,
40,919,0.2261,
40,2136,0.226,
40,1858,0.2236,
40,9447,0.2235,
40,6104,0.2231,
41,1913,0.2226,
41,8184,0.2222,
41,1902,0.2163,
41,8036,0.2162,
41,5967,0.2096,
41,3749,0.2061,
41,4127,0.2027,
41,3516,0.2014,
41,5106,0.2011,
41,616,0.1996,
41,2174,0.1986,
41,7901,0.1954,
41,5919,0.1953,
41,1054,0.1938,
41,9334,0.193,
41,5448,0.1927,
41,4608,0.1925,
41,2883,0.1925,
41,1704,0.1911,
41,5343,0.1911,
42,6444,0.2007,
42,4819,0.1898,
42,4848,0.1869,
42,3039,0.1841,
42,1964,0.1821,
42,9447,0.1809,
42,7973,0.18,
42,4240,0.1798,
42,6104,0.1763,
42,7273,0.175,
42,4892,0.1745,
42,7883,0.1731,
42,8322,0.172,
42,5761,0.1717,
42,919,0.1712,
42,4175,0.1698,
42,6174,0.1698,
42,274,0.1696,
42,4470,0.169,
42,4622,0.1686,
43,6174,0.2629,
43,7973,0.2619,
43,5681,0.2485,
43,433,0.2429,
43,7825,0.2365,
43,2145,0.2322,
43,7824,0.2314,
43,5882,0.2303,
43,1908,0.2289,
43,1207,0.2286,
43,5583,0.2274,
43,5716,0.2272,
43,164,0.2264,
43,8267,0.225,
43,8834,0.2238,
43,282,0.222,
43,3679,0.2217,
43,399,0.2216,
43,78,0.221,
43,5223,0.2208,
44,3417,0.2696,
44,8482,0.2556,
44,4841,0.2555,
44,3386,0.2514,
44,8825,0.2415,
44,6301,0.2399,
44,3851,0.2389,
44,3736,0.238,
44,1893,0.2356,
44,9344,0.2353,
44,1965,0.2349,
44,8238,0.2346,
44,1304,0.2345,
44,5051,0.2342,
44,4808,0.2329,
44,912,0.232,
44,9134,0.2318,
44,3072,0.2315,
44,2659,0.2294,
44,1362,0.2291,
45,8968,0.2577,
45,9213,0.2465,
45,2401,0.2422,
45,4175,0.2268,
45,7578,0.2255,
45,850,0.2249,
45,3744,0.2241,
45,2461,0.223,
45,7140,0.2207,
45,7656,0.2148,
45,7901,0.2124,
45,7628,0.2119,
45,6785,0.2117,
45,3202,0.211,
45,2433,0.2104,
45,7784,0.2087,
45,7453,0.2071,
45,155,0.2064,
45,7883,0.2056,
45,1028,0.2054,
46,2006,0.2946,
46,2361,0.2598,
46,3540,0.2597,
46,9407,0.2459,
46,8662,0.2453,
46,5583,0.2446,
46,8131,0.2432,
46,9388,0.2414,
46,993,0.2411,
46,6614,0.2404,
46,736,0.2404,
46,4252,0.2376,
46,1028,0.2365,
46,6264,0.2347,
46,7140,0.2344,
46,1598,0.2344,
46,307,0.2322,
46,4682,0.2313,
46,1771,0.2309,
46,6613,0.2299,
56,2373,0.2102,
56,4490,0.177,
56,622,0.1561,
56,8857,0.1539,
56,534,0.1493,
56,2813,0.1493,
56,6072,0.1459,
56,8457,0.1444,
56,7543,0.1437,
56,3346,0.1414,
56,2434,0.1412,
56,4271,0.1389,
56,2461,0.1388,
56,5149,0.1382,
56,2385,0.1381,
56,606,0.138,
56,6998,0.1377,
56,6835,0.1356,
56,9394,0.1353,
56,2344,0.1339,
57,7044,0.2742,
57,6212,0.2699,
57,3815,0.266,
57,1000,0.2544,
57,8054,0.2512,
57,409,0.2485,
57,463,0.2471,
57,5973,0.2451,
57,8585,0.2451,
57,8087,0.2447,
57,5921,0.2445,
57,3531,0.2441,
57,3371,0.243,
57,4223,0.2429,
57,2252,0.2423,
57,4401,0.2415,
57,9288,0.2396,
57,7049,0.2392,
57,6386,0.2391,
57,2844,0.2368,
157,4682,0.1907,
157,3540,0.1798,
157,2461,0.1758,
157,307,0.1715,
157,3840,0.1699,
157,8131,0.167,
157,2006,0.1638,
157,6803,0.1635,
157,3202,0.1632,
157,7195,0.161,
157,736,0.1599,
157,8769,0.1598,
157,7371,0.1594,
157,3432,0.1578,
157,5465,0.1564,
157,6627,0.1539,
157,9452,0.1523,
157,7070,0.1521,
157,6613,0.1519,
157,155,0.151,
158,9288,0.2381,
158,6742,0.2286,
158,918,0.2152,
158,4553,0.2123,
158,455,0.2115,
158,7500,0.2037,
158,7399,0.1994,
158,8436,0.1992,
158,9247,0.198,
158,7836,0.1977,
158,2695,0.196,
158,7874,0.1925,
158,8905,0.1924,
158,6474,0.1918,
158,7160,0.1902,
158,4979,0.1899,
158,8983,0.1897,
158,409,0.1889,
158,5465,0.1886,
158,3207,0.1877,
47,4344,0.3443,
47,3207,0.3316,
47,6494,0.3212,
47,7471,0.3197,
47,3817,0.3197,
47,6776,0.3195,
47,8045,0.3194,
47,6555,0.3191,
47,1157,0.3189,
47,8699,0.3188,
47,3315,0.3179,
47,764,0.3179,
47,8376,0.317,
47,5589,0.3169,
47,1807,0.3168,
47,7188,0.3168,
47,7627,0.3161,
47,6453,0.3158,
47,3735,0.3154,
47,995,0.3141,
48,7901,0.1817,
48,2418,0.1772,
48,2255,0.1769,
48,2926,0.1746,
48,4127,0.1739,
48,3516,0.1702,
48,5559,0.1698,
48,4622,0.1686,
48,1083,0.1653,
48,1902,0.1626,
48,4525,0.1591,
48,2164,0.1562,
48,2764,0.1545,
48,1292,0.1539,
48,3693,0.1533,
48,3112,0.1533,
48,6469,0.1523,
48,8500,0.152,
48,3813,0.1519,
48,3744,0.1508,
49,6613,0.3004,
49,5157,0.2881,
49,8940,0.2811,
49,307,0.2797,
49,4275,0.2772,
49,66,0.2764,
49,3787,0.2743,
49,2158,0.2736,
49,473,0.2729,
49,6643,0.2727,
49,5583,0.2723,
49,6614,0.2712,
49,2361,0.2702,
49,5969,0.2693,
49,5548,0.2688,
49,2351,0.2676,
49,5901,0.2672,
49,2160,0.2664,
49,6499,0.266,
49,8551,0.266,
50,5344,0.3014,
50,7648,0.2976,
50,2510,0.2975,
50,5519,0.2933,
50,5464,0.2932,
50,2312,0.2846,
50,4848,0.2822,
50,1062,0.2781,
50,6174,0.2767,
50,3787,0.273,
50,7825,0.2722,
50,5583,0.2715,
50,8267,0.2677,
50,164,0.2644,
50,2145,0.264,
50,6613,0.2635,
50,5927,0.261,
50,7973,0.2596,
50,5494,0.2595,
50,1908,0.257,
51,5809,0.2229,
51,9416,0.2186,
51,3100,0.1992,
51,4896,0.1968,
51,7477,0.1829,
51,2174,0.1817,
51,8556,0.1745,
51,4687,0.1733,
51,1268,0.1708,
51,5848,0.1696,
51,7518,0.1655,
51,8195,0.1654,
51,8888,0.1653,
51,7591,0.1652,
51,8430,0.1624,
51,4963,0.1622,
51,198,0.1619,
51,2724,0.1618,
51,5238,0.1607,
51,5704,0.1605,
52,2467,0.2587,
52,9321,0.2509,
52,409,0.2463,
52,8054,0.2429,
52,4818,0.2424,
52,3815,0.2379,
52,2543,0.2371,
52,8087,0.2363,
52,88,0.236,
52,8166,0.233,
52,5750,0.2316,
52,4346,0.23,
52,7152,0.2295,
52,6212,0.228,
52,9016,0.2276,
52,1337,0.2244,
52,7525,0.2237,
52,463,0.2229,
52,4782,0.2227,
52,6172,0.2202,
53,7825,0.2483,
53,5030,0.2421,
53,78,0.2417,
53,6174,0.2374,
53,6835,0.2306,
53,7973,0.2299,
53,3500,0.2273,
53,1626,0.2266,
53,1207,0.2256,
53,2536,0.2243,
53,3679,0.2212,
53,3989,0.2189,
53,8834,0.218,
53,4531,0.2171,
53,56,0.2171,
53,2663,0.2164,
53,9234,0.2158,
53,1763,0.2146,
53,7870,0.2117,
53,2856,0.2114,
